"new_id","option","option_code"
"f8500","Antibiotic (pill/syrup/injection)",2
"f8300","None of the above",4
"f8500","Home remedy/herbal medicine",5
"f8500","No",1
"f8500","Home remedy/herbal medicine",5
"f8300","None of the above",4
"f8500","No",1
"f8500","Zinc (pill or syrup)",3
"f8500","De-worming medicine",7
"f8500","Massage",9
"f8500","Laxative",6
"f8500","Antibiotic (pill/syrup/injection)",2
"f8500","Give extra liquid",13
"f8500","Chupon",8
"f8500","Home remedy/herbal medicine",5
"f8500","No",1
"f8300","None of the above",4
"f8500","Antibiotic (pill/syrup/injection)",2
"f8500","Chupon",8
"f8500","De-worming medicine",7
"f8500","Zinc (pill or syrup)",3
"f8500","Massage",9
"f8500","Laxative",6
"f8500","Give extra liquid",13
